sha256,region,category,pair_id,app_name,package,native_so_count_total,native_so_count_unique,native_so_names,native_abis,native_distinct_abis,native_top_abi
EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,ru,bank_3,bank3,Alfa Bank,ru.alfabank.oavdo.amc,90,24,libandroidx.graphics.path.so;libcheckroot.so;libcrypt_known_path.so;libcrypto-1.1.so;libcspjni.so;libdatastore_shared_counter.so;libdsswrapper.so;libitp11gost.so;libjniidengine.so;libpkcs11_vccc.so;libpki.so;libroot.so;librtconnection.so;librtpcsc.so;librtpkcs11ecp.so;libsentry-android.so;libsentry.so;libsofttoken_pkcs11.so;libsofttoken_pkcs11_session.so;libssl-1.1.so;libsupport.so;libtoolChecker.so;libucs-credential.so;libuprngm.so,arm64-v8a;armeabi-v7a;x86;x86_64,4,arm64-v8a
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,eu,bank_3,bank3,Revolut,com.revolut.revolut,0,0,,,0,
DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,ru,bank_4,bank4,VTB,ru.vtb24.mobilebanking.android,62,31,libTransform.so;libandroidx.graphics.path.so;libappmetrica-native-runner.so;libappmetrica-native.so;libappmetrica-service-native.so;libappmetrica_crashpad_handler.so;libbms_fp.so;libc++_shared.so;libdigirub.so;libdpboot.cj46.so;libface_detector_v2_jni.so;libhashfile.so;libimage_processing_util_jni.so;libjnimultiengine.so;libprotector.cj46.so;libscertui.so;libspki.so;libspki1.so;libspkissl.so;libsqlcipher.so;libsurface_util_jni.so;libtensorflowlite_jni.so;libucs-credential.so;libvdcsp.so;libvdkdevs.so;libvdkeys00.so;libvdkeys16.so;libvdkeys17.so;libvdrand01.so;libvdrand16.so;libwebrtc-lib.so,arm64-v8a;armeabi-v7a,2,arm64-v8a
F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,eu,bank_4,bank4,BILnet,com.bil.android,0,0,,,0,
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru,health,health,EMIAS.INFO,com.programmisty.emiasapp,57,28,libc++_shared.so;libdatastore_shared_counter.so;libfbjni.so;libgifimage.so;libhermes.so;libhermestooling.so;libimagepipeline.so;libjingle_peerconnection_so.so;libjniPdfium.so;libjsctooling.so;libjsi.so;libmaps-mobile.so;libmodft2.so;libmodpdfium.so;libmodpng.so;libnative-filters.so;libnative-imagetranscoder.so;libreactnative.so;librnscreens.so;librnworklets.so;libsentry-android.so;libsentry.so;libstatic-webp.so;libtiff.so;libtiffconverter.so;libtifffactory.so;libtiffsaver.so;libucrop.so,arm64-v8a;armeabi;armeabi-v7a,3,arm64-v8a
4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,eu,health,health,Doctena,goodsoft.pl.doctenalu,0,0,,,0,
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,0,0,,,0,
AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302,eu,social_1,social1,Facebook,com.facebook.katana,14,14,libachilles-jni.so;libandroidx.graphics.path.so;libappcomponentfactory-jni.so;libbreakpad.so;libbreakpad_cpp_helper.so;libc++_shared.so;libdextricks-early.so;libdistract-config.so;libfbunwindstack.so;libsqlitejni.so;libsuperpack-jni.so;libsuperpack_common.so;libunwindstack_binary.so;libxplat_superpack_portability_c_portabilityAndroid.so,arm64-v8a,1,arm64-v8a
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,0,0,,,0,
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,0,0,,,0,
0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,ru,msg_1,msg1,MAX,ru.oneme.app,70,18,libEnhancementLibShared.so;libc++_shared.so;libcspjni.so;libffmpg.so;libgifimage.so;libgleff.so;libimage_processing_util_jni.so;libimagepipeline.so;libjingle_peerconnection_so.so;libjlottie.so;libnative-filters.so;libnative-imagetranscoder.so;libqrcode.so;libstatic-webp.so;libsupport.so;libsurface_util_jni.so;libtensorflowlite.so;libtracernative.so,arm64-v8a;armeabi-v7a;x86;x86_64,4,arm64-v8a
3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,eu,msg_1,msg1,WhatsApp,com.whatsapp,0,0,,,0,
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru,msg_2,msg2,Yandex Telemost,ru.yandex.telemost,0,0,,,0,
0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,eu,msg_2,msg2,Telegram,org.telegram.messenger,8,2,liblanguage_id_l2c_jni.so;libtmessages.49.so,arm64-v8a;armeabi-v7a;x86;x86_64,4,arm64-v8a
E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,ru,gov_portal,gov1,Gosuslugi,ru.rostel,0,0,,,0,
36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,eu,gov_portal,gov1,MyGuichet.lu,lu.etat.fp.gun.android,0,0,,,0,
69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,ru,gov_tax,gov2,Nalogi FL,ru.fns.lkfl,0,0,,,0,
20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,eu,gov_tax,gov2,impots.gouv,fr.gouv.finances.smartphone.android,0,0,,,0,
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru,gov_eid,gov3,Gosuslugi Biometria,ru.rtlabs.mobile.ebs.gosuslugi.android,0,0,,,0,
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,eu,gov_eid,gov3,itsme,be.bmid.itsme,0,0,,,0,
