region,prefix,apps_with_prefix,in_which_APKs
eu,io.ktor.network,3,DB Navigator;X;itsme
ru,io.ktor.network,2,Avito;Gosuslugi
eu,io.netty.buffer,1,Bolt
eu,io.netty.handler,1,Bolt
eu,io.netty.resolver,1,Bolt
