region,category,pair_id,app_name,apk_path,sha256,package
ru,bank_2,bank2,Tinkoff,data/ru/tbank_app.apk,AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,com.idamob.tinkoff.android
eu,bank_2,bank2,ING Luxembourg,data/eu/com.ing.lu.mobile__vc82__C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B.apk,C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,com.ing.lu.mobile
ru,bank_3,bank3,Alfa Bank,data/ru/AlfaBank_ABM_last_v.apk,EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,ru.alfabank.oavdo.amc
eu,bank_3,bank3,Revolut,data/eu/com.revolut.revolut__vc1011409134__4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D.apk,4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,com.revolut.revolut
ru,bank_4,bank4,VTB,data/ru/VTB_bank_vtbonline_last_vers.apk,DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,ru.vtb24.mobilebanking.android
eu,bank_4,bank4,BILnet,data/eu/com.bil.android__vc1289__F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B.apk,F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,com.bil.android
ru,health,health,EMIAS.INFO,data/ru/com.programmisty.emiasapp__vc176908950__73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C.apk,73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.programmisty.emiasapp
eu,health,health,Doctena,data/eu/goodsoft.pl.doctenalu__vc56__4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E.apk,4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,goodsoft.pl.doctenalu
ru,social_1,social1,VK,data/ru/com.vkontakte.android__vc47685__9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D.apk,9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,com.vkontakte.android
eu,social_1,social1,Facebook,data/eu/com.facebook.katana__vc468015008__AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302.apk,AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302,com.facebook.katana
