region,category,pair_id,app_name,package,androzoo_in_latest,androzoo_markets,androzoo_has_play,androzoo_best_play_vercode,androzoo_best_play_sha256,play_http_status,play_live_available,rustore_http_status,rustore_live_available
ru,social_2,social2,OK,ru.ok.android,1,1mobile|PlayDrone|VirusShare|play.google.com|proandroid,1,26012700,79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,200,1,200,1
eu,social_2,social2,X,com.twitter.android,1,PlayDrone|VirusShare|angeeks|anzhi|appchina|freewarelovers|mi.com|play.google.com|slideme|torrents,1,311610000,CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,200,1,404,0
ru,msg_1,msg1,MAX,ru.oneme.app,0,,0,,,200,1,200,1
eu,msg_1,msg1,WhatsApp,com.whatsapp,1,PlayDrone|VirusShare|angeeks|anzhi|appchina|mi.com|play.google.com|proandroid|slideme|unknown,1,260379000,3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,200,1,404,0
ru,msg_2,msg2,Yandex Telemost,ru.yandex.telemost,1,play.google.com,1,201000,67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,200,1,200,1
eu,msg_2,msg2,Telegram,org.telegram.messenger,1,PlayDrone|VirusShare|anzhi|fdroid|mi.com|play.google.com|unknown,1,63852,0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,200,1,404,0
ru,gov_portal,gov1,Gosuslugi,ru.rostel,1,PlayDrone|play.google.com,1,9150,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,200,1,200,1
eu,gov_portal,gov1,MyGuichet.lu,lu.etat.fp.gun.android,1,play.google.com,1,1103,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,200,1,404,0
ru,gov_tax,gov2,Nalogi FL,ru.fns.lkfl,1,play.google.com,1,15026117,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,200,1,200,1
eu,gov_tax,gov2,impots.gouv,fr.gouv.finances.smartphone.android,1,appchina|play.google.com,1,199,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,200,1,404,0
ru,gov_eid,gov3,Gosuslugi Biometria,ru.rtlabs.mobile.ebs.gosuslugi.android,1,play.google.com,1,20250919,D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,200,1,200,1
eu,gov_eid,gov3,itsme,be.bmid.itsme,1,play.google.com,1,1766405119,003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,200,1,404,0
