region,ads,ads,analytics,analytics,anti_fraud,anti_fraud,crash,crash,networking,networking,other,other,payments,payments,push,push
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
eu,161.31578947368422,20.0,295.10526315789474,30.0,11.894736842105264,0.0,31.789473684210527,20.0,85.47368421052632,36.0,1252.2631578947369,717.0,472.36842105263156,10.0,50.421052631578945,14.0
ru,1198.7,34.0,1552.0,1775.0,16.65,2.0,46.05,23.5,86.7,40.5,1533.4,1165.5,846.2,140.5,296.1,158.0
