library,ru_app_count,eu_app_count,total_app_count,region_type,ru_apps,eu_apps,ru_usage_percent,eu_usage_percent
io.github,7,1,8,Common,Avito;Gosuslugi;OK;Tinkoff;VTB;Yandex Market;Yandex Telemost,Revolut,35.0,5.0
org.jsoup,6,2,8,Common,Avito;Gosuslugi;Ozon;Sberbank;VK;Wildberries,Amazon Shopping;bol,30.0,10.0
com.appsflyer,5,3,8,Common,Alfa Bank;Ozon;Tinkoff;Wildberries;Yandex Maps,Bolt;Revolut;bol,25.0,15.0
io.michaelrocks,5,3,8,Common,MAX;OK;Sberbank;Tinkoff;VK,Bolt;Revolut;X,25.0,15.0
com.yandex.div,7,0,7,RU_only,Avito;OK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,,35.0,0.0
org.msgpack,7,0,7,RU_only,MAX;OK;VK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost,,35.0,0.0
ru.tinkoff,7,0,7,RU_only,Avito;Gosuslugi;Ozon;RZD;Tinkoff;Wildberries;Yandex Maps,,35.0,0.0
me.leolin,6,1,7,Common,MAX;OK;RZD;VK;Wildberries;Yandex Go Taxi,impots.gouv,30.0,5.0
com.getkeepsafe,5,2,7,Common,Avito;Gosuslugi;OK;Yandex Go Taxi;Yandex Maps,Amazon Shopping;Revolut,25.0,10.0
org.joda,5,2,7,Common,Avito;Ozon;Tinkoff;VTB;Yandex Maps,BGL;Revolut,25.0,10.0
ru.yandex,6,0,6,RU_only,OK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,,30.0,0.0
io.grpc,4,2,6,Common,Tinkoff;VTB;Wildberries;Yandex Maps,Google Maps;Revolut,20.0,10.0
com.adjust.sdk,3,3,6,Common,Avito;Yandex Go Taxi;Yandex Market,DB Navigator;Vinted;Zalando,15.0,15.0
org.checkerframework,3,3,6,Common,Avito;Gosuslugi Biometria;Yandex Maps,BGL;BILnet;Bolt,15.0,15.0
com.my.tracker,5,0,5,RU_only,Alfa Bank;Avito;MAX;OK;VK,,25.0,0.0
org.threeten,5,0,5,RU_only,Avito;Tinkoff;VTB;Wildberries;Yandex Trains,,25.0,0.0
ru.ok,5,0,5,RU_only,Avito;MAX;OK;VK;Wildberries,,25.0,0.0
com.hannesdorfmann,4,1,5,Common,Gosuslugi;Gosuslugi Biometria;RZD;Yandex Maps,Bolt,20.0,5.0
com.redmadrobot,4,1,5,Common,Gosuslugi;Gosuslugi Biometria;Sberbank;Yandex Maps,Revolut,20.0,5.0
com.yalantis,4,1,5,Common,EMIAS.INFO;Nalogi FL;RZD;Sberbank,DB Navigator,20.0,5.0
org.json,3,2,5,Common,EMIAS.INFO;Gosuslugi;OK,Amazon Shopping;Vinted,15.0,10.0
io.requery,2,3,5,Common,VK;Wildberries,Amazon Shopping;WhatsApp;X,10.0,15.0
org.jspecify,1,4,5,Common,Nalogi FL,BGL;BILnet;Bolt;MyGuichet.lu,5.0,20.0
com.yandex.android,4,0,4,RU_only,Avito;OK;Yandex Market;Yandex Trains,,20.0,0.0
com.nimbusds,3,1,4,Common,Sberbank;Tinkoff;VTB,Vinted,15.0,5.0
com.otaliastudios,3,1,4,Common,Avito;Gosuslugi;OK,Vinted,15.0,5.0
com.wdullaer,3,1,4,Common,Alfa Bank;Sberbank;Tinkoff,BGL,15.0,5.0
net.zetetic,3,1,4,Common,Sberbank;Tinkoff;VTB,Revolut,15.0,5.0
com.russhwolf,2,2,4,Common,Avito;Yandex Maps,Bolt;X,10.0,10.0
net.sf,2,2,4,Common,Gosuslugi Biometria;Wildberries,Revolut;itsme,10.0,10.0
com.apollographql.apollo,1,3,4,Common,Yandex Market,X;Zalando;bol,5.0,15.0
org.brotli,1,3,4,Common,Yandex Go Taxi,Amazon Shopping;Vinted;X,5.0,15.0
com.annimon,3,0,3,RU_only,Tinkoff;VTB;Yandex Maps,,15.0,0.0
com.my.target,3,0,3,RU_only,Avito;OK;VK,,15.0,0.0
com.pnikosis,3,0,3,RU_only,OK;VK;VTB,,15.0,0.0
com.theartofdev.edmodo,3,0,3,RU_only,OK;VTB;Wildberries,,15.0,0.0
com.yandex.pay,3,0,3,RU_only,Gosuslugi;Yandex Go Taxi;Yandex Market,,15.0,0.0
io.antmedia,3,0,3,RU_only,MAX;OK;VK,,15.0,0.0
io.noties,3,0,3,RU_only,Avito;Sberbank;Yandex Maps,,15.0,0.0
org.ini4j,3,0,3,RU_only,Alfa Bank;MAX;Tinkoff,,15.0,0.0
org.simpleframework,3,0,3,RU_only,Alfa Bank;Sberbank;Yandex Trains,,15.0,0.0
org.tukaani,3,0,3,RU_only,Alfa Bank;Tinkoff;VTB,,15.0,0.0
pub.devrel,3,0,3,RU_only,OK;RZD;VK,,15.0,0.0
com.arkivanov.essenty,2,1,3,Common,OK;Wildberries,X,10.0,5.0
com.bluelinelabs,2,1,3,Common,MAX;Yandex Maps,X,10.0,5.0
com.makeramen,2,1,3,Common,Alfa Bank;RZD,Revolut,10.0,5.0
io.jsonwebtoken,2,1,3,Common,OK;Sberbank,X,10.0,5.0
net.bytebuddy,2,1,3,Common,Alfa Bank;Avito,itsme,10.0,5.0
org.hamcrest,2,1,3,Common,Avito;Gosuslugi,Vinted,10.0,5.0
org.mockito,2,1,3,Common,Alfa Bank;Avito,itsme,10.0,5.0
org.objenesis,2,1,3,Common,Alfa Bank;Avito,itsme,10.0,5.0
com.auth0,1,2,3,Common,Alfa Bank,X;Zalando,5.0,10.0
com.googlecode,1,2,3,Common,VK,MyGuichet.lu;Telegram,5.0,10.0
dev.chrisbanes,1,2,3,Common,Wildberries,MyGuichet.lu;X,5.0,10.0
jp.wasabeef,1,2,3,Common,Yandex Maps,BILnet;Revolut,5.0,10.0
org.ejbca.cvc,1,2,3,Common,Gosuslugi Biometria,Revolut;itsme,5.0,10.0
org.jmrtd,1,2,3,Common,Gosuslugi Biometria,Revolut;itsme,5.0,10.0
cafe.adriel.voyager,2,0,2,RU_only,Tinkoff;Wildberries,,10.0,0.0
co.nstant.in,2,0,2,RU_only,Gosuslugi;Tinkoff,,10.0,0.0
com.apollographql.apollo3,2,0,2,RU_only,Yandex Go Taxi;Yandex Maps,,10.0,0.0
com.avito.android,2,0,2,RU_only,Avito;Gosuslugi,,10.0,0.0
com.datatheorem.android.trustkit,2,0,2,RU_only,Tinkoff;VTB,,10.0,0.0
com.wutka,2,0,2,RU_only,Alfa Bank;Yandex Trains,,10.0,0.0
io.perfmark,2,0,2,RU_only,Wildberries;Yandex Maps,,10.0,0.0
io.socket,2,0,2,RU_only,Gosuslugi;Tinkoff,,10.0,0.0
io.supercharge,2,0,2,RU_only,Sberbank;VTB,,10.0,0.0
me.zhanghai.android.materialprogressbar,2,0,2,RU_only,Ozon;VK,,10.0,0.0
net.danlew,2,0,2,RU_only,Ozon;Tinkoff,,10.0,0.0
net.jpountz.lz4,2,0,2,RU_only,MAX;OK,,10.0,0.0
org.commonmark,2,0,2,RU_only,Avito;Yandex Maps,,10.0,0.0
org.greenrobot,2,0,2,RU_only,Nalogi FL;RZD,,10.0,0.0
ru.mail,2,0,2,RU_only,OK;VK,,10.0,0.0
ru.rutoken,2,0,2,RU_only,Alfa Bank;Tinkoff,,10.0,0.0
app.cash.sqldelight,1,1,2,Common,RZD,X,5.0,5.0
com.amazonaws,1,1,2,Common,OK,Amazon Shopping,5.0,5.0
com.amplitude,1,1,2,Common,Sberbank,itsme,5.0,5.0
com.applovin,1,1,2,Common,OK,Vinted,5.0,5.0
