sha256,region,category,pair_id,app_name,package,library_prefix,depth,class_count
D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,ru,ecom_2,ecom2,Wildberries,com.wildberries.ru,uk.co.samuelwall,3,39
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,eu,ecom_2,ecom2,Zalando,de.zalando.mobile,com.adjust.sdk,3,230
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,eu,ecom_2,ecom2,Zalando,de.zalando.mobile,com.apollographql.apollo,3,11
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,eu,ecom_2,ecom2,Zalando,de.zalando.mobile,com.h6ah4i.android,3,13
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,com.adjust.sdk,3,226
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,com.apollographql.apollo,3,1
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,com.yandex.android,3,2
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,com.yandex.div,3,126
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,com.yandex.pay,3,209
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,org.chromium.net,3,149
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,eu,ecom_3,ecom3,bol,com.bol.shop,com.apollographql.apollo,3,22
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,ru,ecom_4,ecom4,Avito,com.avito.android,com.adjust.sdk,3,227
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,ru,ecom_4,ecom4,Avito,com.avito.android,com.geetest.captcha,3,76
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,ru,ecom_4,ecom4,Avito,com.avito.android,com.my.target,3,391
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,ru,ecom_4,ecom4,Avito,com.avito.android,com.my.tracker,3,230
