sha256,region,category,pair_id,app_name,package,topic,source,hit_count,hits
AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,ru,bank_2,bank2,Tinkoff,com.idamob.tinkoff.android,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.ktx
C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,eu,bank_2,bank2,ING Luxembourg,com.ing.lu.mobile,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.ktx
EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,ru,bank_3,bank3,Alfa Bank,ru.alfabank.oavdo.amc,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,eu,bank_3,bank3,Revolut,com.revolut.revolut,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx
DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,ru,bank_4,bank4,VTB,ru.vtb24.mobilebanking.android,analytics,mvnrepo,5,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;io.appmetrica.analytics;io.appmetrica.analytics.logger
F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,eu,bank_4,bank4,BILnet,com.bil.android,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru,health,health,EMIAS.INFO,com.programmisty.emiasapp,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;io.appmetrica.analytics
4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,eu,health,health,Doctena,goodsoft.pl.doctenalu,analytics,mvnrepo,2,com.google.android.gms;com.google.firebase
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx
AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302,eu,social_1,social1,Facebook,com.facebook.katana,analytics,mvnrepo,0,
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,analytics,mvnrepo,7,com.google.android.gms;com.google.android.gms.analytics;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx;io.appmetrica.analytics;io.appmetrica.analytics.logger
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.analytics
