groupId,artifactId,usages,page
org.finos.legend.engine,legend-engine-xt-analytics-store-entitlement,11,p5
org.wso2.carbon.analytics-common,org.wso2.carbon.event.publisher.core,11,p5
org.wso2.carbon.analytics-common,org.wso2.carbon.event.template.manager.core,11,p5
com.atlassian.analytics,analytics-client-lib,10,p5
com.comscore,android-analytics,7,p5
com.segment.analytics.kotlin,analytics-kotlin-live,7,p5
org.wso2.carbon.analytics-common,org.wso2.carbon.event.processor.manager.commons,10,p6
org.wso2.carbon.analytics-common,org.wso2.carbon.event.receiver.stub,10,p6
org.wso2.carbon.analytics-common,org.wso2.carbon.event.template.manager.stub,10,p6
org.wso2.carbon.analytics,org.wso2.carbon.siddhi.store.api.rest.feature,12,p6
com.microsoft.appcenter,appcenter-analytics,11,p6
io.appmetrica.analytics,analytics-billing-interface,6,p6
io.appmetrica.analytics,push-logger,6,p6
org.wso2.am.analytics.publisher,org.wso2.am.analytics.publisher.client,9,p6
org.wso2.carbon.analytics-common,org.wso2.carbon.event.publisher.stub,9,p6
io.github.the-best-is-best,kfirebase-analytics-android,6,p6
com.android.tools.analytics-library,tracker,8,p7
org.wso2.carbon.analytics,org.wso2.carbon.event.simulator.core.feature,11,p7
org.wso2.carbon.analytics,org.wso2.carbon.streaming.integrator.common,11,p7
org.finos.legend.engine,legend-engine-xt-analytics-mapping-pure,8,p7
com.aiuta,fashionsdk-internal-analytics-android,5,p7
com.atlassian.confluence.plugins,analytics,5,p7
com.atlassian.confluence.plugins,analytics-jobs-plugin,5,p7
com.bitmovin.analytics,collector,5,p7
org.wso2.carbon.analytics,org.wso2.carbon.permissions.rest.api.feature,10,p7
org.wso2.carbon.analytics,org.wso2.carbon.siddhi.editor.core.feature,10,p7
com.android.tools.analytics-library,crash,7,p8
com.atlassian.analytics,analytics-client-exported,7,p8
com.nhncloud.android,nhncloud-push-analytics,5,p8
com.segment.analytics.kotlin.signals,core,5,p8
com.yandex.pay,core-analytics,5,p8
com.yoti.mobile.android.sdk,yoti-sdk-analytics-core,5,p8
com.onfido.sdk,analytics-events,7,p8
io.appmetrica.analytics,push-core-utils,5,p8
io.appmetrica.analytics,push-provider-api,5,p8
org.finos.legend.engine,legend-engine-xt-analytics-binding-pure,7,p8
org.finos.legend.engine,legend-engine-xt-analytics-function-pure,7,p9
org.wso2.carbon.analytics,org.wso2.carbon.business.rules.core.feature,9,p9
org.wso2.carbon.analytics,org.wso2.carbon.business.rules.web.feature,9,p9
org.wso2.carbon.analytics,org.wso2.carbon.health.check.core.feature,9,p9
org.wso2.carbon.analytics,org.wso2.carbon.streaming.integrator.common.feature,9,p9
org.wso2.carbon.analytics,org.wso2.carbon.streaming.integrator.core.feature,9,p9
com.atlassian.cmpt,cmpt-spring-boot-analytics-server-model,6,p9
com.aiuta,fashionsdk-analytics-events-android,4,p9
com.flurry.android,analytics,26,p9
io.github.the-best-is-best,kfirebase-analytics,6,p9
