groupId,artifactId,usages,page
com.alipay.mobile,nebulaengine-build,26,p7
com.alipay.sofa,sofa-boot,20,p7
com.alipay.android.phone.mobilecommon,dynamicrelease-build,25,p7
com.alipay.android.phone.rome,syncmpaasapi-build,25,p7
com.alipay.multimedia,apwidget-build,25,p8
com.yandex.pay.inapps,core-utils,18,p8
in.payu,payu-crash-logger,18,p8
com.alipay.sofa,sofa-ark-api,24,p8
com.alipay.mobile,nebulakernel-build,23,p8
com.alipay.cloud,spring-cloud-sofa-common,18,p8
io.primer,payment-methods-core-ui,13,p8
com.alipay.android.phone.securitycommon,aliupgrade-build,22,p8
com.alipay.android.phone.sync,syncservice-build,21,p8
com.yandex.pay.inapps,core-design,15,p8
com.yandex.pay.inapps,core-di,15,p9
com.yandex.pay,core-network,12,p9
com.alipay.zoneclient,zoneclient-core,20,p9
com.alipay.sofa,tracer-sofa-boot-starter,16,p9
com.taptap.android.payment,base,11,p9
com.alipay.sofa,runtime-sofa-boot,15,p9
com.alipay.sofa,runtime-sofa-boot-starter,15,p9
com.alipay.xmedia.algorithm,algorithm-build,19,p9
com.egzosn,pay-java-common,15,p9
com.bytedance.ttgame,alipay_new,18,p9
