category,pair_id,ru_app,eu_app,metric,value
ecom_3,ecom3,Yandex Market,bol,eu_perm_count_local,24
ecom_3,ecom3,Yandex Market,bol,eu_vt_dangerous_perm_count,3
ecom_3,ecom3,Yandex Market,bol,eu_vt_malicious,0
ecom_3,ecom3,Yandex Market,bol,eu_vt_perm_count,24
ecom_3,ecom3,Yandex Market,bol,eu_vt_suspicious,0
ecom_3,ecom3,Yandex Market,bol,ru_exported_comp_total,33
ecom_3,ecom3,Yandex Market,bol,ru_perm_count_local,38
ecom_3,ecom3,Yandex Market,bol,ru_vt_dangerous_perm_count,12
ecom_3,ecom3,Yandex Market,bol,ru_vt_malicious,0
ecom_3,ecom3,Yandex Market,bol,ru_vt_perm_count,38
ecom_3,ecom3,Yandex Market,bol,ru_vt_suspicious,0
ecom_4,ecom4,Avito,Vinted,delta_exported_total_ru_minus_eu,11
ecom_4,ecom4,Avito,Vinted,delta_perm_local_ru_minus_eu,26
ecom_4,ecom4,Avito,Vinted,eu_exported_comp_total,21
ecom_4,ecom4,Avito,Vinted,eu_perm_count_local,29
ecom_4,ecom4,Avito,Vinted,eu_vt_dangerous_perm_count,8
ecom_4,ecom4,Avito,Vinted,eu_vt_malicious,0
ecom_4,ecom4,Avito,Vinted,eu_vt_perm_count,29
ecom_4,ecom4,Avito,Vinted,eu_vt_suspicious,0
ecom_4,ecom4,Avito,Vinted,ru_exported_comp_total,32
ecom_4,ecom4,Avito,Vinted,ru_perm_count_local,55
ecom_4,ecom4,Avito,Vinted,ru_vt_dangerous_perm_count,17
ecom_4,ecom4,Avito,Vinted,ru_vt_malicious,0
ecom_4,ecom4,Avito,Vinted,ru_vt_perm_count,55
ecom_4,ecom4,Avito,Vinted,ru_vt_suspicious,0
gov_eid,gov3,Gosuslugi Biometria,itsme,delta_exported_total_ru_minus_eu,-2
gov_eid,gov3,Gosuslugi Biometria,itsme,delta_perm_local_ru_minus_eu,0
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_exported_comp_total,13
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_perm_count_local,18
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_vt_dangerous_perm_count,5
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_vt_malicious,0
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_vt_perm_count,18
gov_eid,gov3,Gosuslugi Biometria,itsme,eu_vt_suspicious,0
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_exported_comp_total,11
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_perm_count_local,18
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_vt_dangerous_perm_count,6
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_vt_malicious,0
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_vt_perm_count,18
gov_eid,gov3,Gosuslugi Biometria,itsme,ru_vt_suspicious,0
gov_portal,gov1,Gosuslugi,MyGuichet.lu,delta_exported_total_ru_minus_eu,11
gov_portal,gov1,Gosuslugi,MyGuichet.lu,delta_perm_local_ru_minus_eu,18
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_exported_comp_total,4
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_perm_count_local,17
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_vt_dangerous_perm_count,5
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_vt_malicious,0
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_vt_perm_count,17
gov_portal,gov1,Gosuslugi,MyGuichet.lu,eu_vt_suspicious,0
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_exported_comp_total,15
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_perm_count_local,35
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_vt_dangerous_perm_count,10
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_vt_malicious,0
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_vt_perm_count,35
gov_portal,gov1,Gosuslugi,MyGuichet.lu,ru_vt_suspicious,0
gov_tax,gov2,Nalogi FL,impots.gouv,delta_exported_total_ru_minus_eu,4
gov_tax,gov2,Nalogi FL,impots.gouv,delta_perm_local_ru_minus_eu,-8
gov_tax,gov2,Nalogi FL,impots.gouv,eu_exported_comp_total,7
gov_tax,gov2,Nalogi FL,impots.gouv,eu_perm_count_local,37
gov_tax,gov2,Nalogi FL,impots.gouv,eu_vt_dangerous_perm_count,7
gov_tax,gov2,Nalogi FL,impots.gouv,eu_vt_malicious,0
gov_tax,gov2,Nalogi FL,impots.gouv,eu_vt_perm_count,37
gov_tax,gov2,Nalogi FL,impots.gouv,eu_vt_suspicious,0
gov_tax,gov2,Nalogi FL,impots.gouv,ru_exported_comp_total,11
gov_tax,gov2,Nalogi FL,impots.gouv,ru_perm_count_local,29
gov_tax,gov2,Nalogi FL,impots.gouv,ru_vt_dangerous_perm_count,8
gov_tax,gov2,Nalogi FL,impots.gouv,ru_vt_malicious,0
gov_tax,gov2,Nalogi FL,impots.gouv,ru_vt_perm_count,29
gov_tax,gov2,Nalogi FL,impots.gouv,ru_vt_suspicious,0
health,health,EMIAS.INFO,Doctena,delta_exported_total_ru_minus_eu,7
health,health,EMIAS.INFO,Doctena,delta_perm_local_ru_minus_eu,13
health,health,EMIAS.INFO,Doctena,eu_exported_comp_total,14
health,health,EMIAS.INFO,Doctena,eu_perm_count_local,27
health,health,EMIAS.INFO,Doctena,eu_vt_dangerous_perm_count,2
health,health,EMIAS.INFO,Doctena,eu_vt_malicious,0
health,health,EMIAS.INFO,Doctena,eu_vt_perm_count,27
health,health,EMIAS.INFO,Doctena,eu_vt_suspicious,0
health,health,EMIAS.INFO,Doctena,ru_exported_comp_total,21
health,health,EMIAS.INFO,Doctena,ru_perm_count_local,40
health,health,EMIAS.INFO,Doctena,ru_vt_dangerous_perm_count,11
health,health,EMIAS.INFO,Doctena,ru_vt_malicious,0
health,health,EMIAS.INFO,Doctena,ru_vt_perm_count,40
health,health,EMIAS.INFO,Doctena,ru_vt_suspicious,0
msg_1,msg1,MAX,WhatsApp,delta_exported_total_ru_minus_eu,-62
msg_1,msg1,MAX,WhatsApp,delta_perm_local_ru_minus_eu,-32
msg_1,msg1,MAX,WhatsApp,eu_exported_comp_total,68
msg_1,msg1,MAX,WhatsApp,eu_perm_count_local,83
msg_1,msg1,MAX,WhatsApp,eu_vt_dangerous_perm_count,27
msg_1,msg1,MAX,WhatsApp,eu_vt_malicious,0
msg_1,msg1,MAX,WhatsApp,eu_vt_perm_count,83
msg_1,msg1,MAX,WhatsApp,eu_vt_suspicious,0
msg_1,msg1,MAX,WhatsApp,ru_exported_comp_total,6
msg_1,msg1,MAX,WhatsApp,ru_perm_count_local,51
msg_1,msg1,MAX,WhatsApp,ru_vt_dangerous_perm_count,13
msg_1,msg1,MAX,WhatsApp,ru_vt_malicious,0
msg_1,msg1,MAX,WhatsApp,ru_vt_perm_count,51
msg_1,msg1,MAX,WhatsApp,ru_vt_suspicious,0
msg_2,msg2,Yandex Telemost,Telegram,delta_exported_total_ru_minus_eu,-13
msg_2,msg2,Yandex Telemost,Telegram,delta_perm_local_ru_minus_eu,-42
msg_2,msg2,Yandex Telemost,Telegram,eu_exported_comp_total,35
msg_2,msg2,Yandex Telemost,Telegram,eu_perm_count_local,71
msg_2,msg2,Yandex Telemost,Telegram,eu_vt_dangerous_perm_count,20
msg_2,msg2,Yandex Telemost,Telegram,eu_vt_malicious,0
msg_2,msg2,Yandex Telemost,Telegram,eu_vt_perm_count,71
msg_2,msg2,Yandex Telemost,Telegram,eu_vt_suspicious,0
msg_2,msg2,Yandex Telemost,Telegram,ru_exported_comp_total,22
msg_2,msg2,Yandex Telemost,Telegram,ru_perm_count_local,29
msg_2,msg2,Yandex Telemost,Telegram,ru_vt_dangerous_perm_count,11
msg_2,msg2,Yandex Telemost,Telegram,ru_vt_malicious,0
msg_2,msg2,Yandex Telemost,Telegram,ru_vt_perm_count,29
msg_2,msg2,Yandex Telemost,Telegram,ru_vt_suspicious,0
social_1,social1,VK,Facebook,delta_exported_total_ru_minus_eu,-40
social_1,social1,VK,Facebook,delta_perm_local_ru_minus_eu,6
social_1,social1,VK,Facebook,eu_exported_comp_total,133
social_1,social1,VK,Facebook,eu_perm_count_local,91
social_1,social1,VK,Facebook,eu_vt_dangerous_perm_count,18
social_1,social1,VK,Facebook,eu_vt_malicious,0
social_1,social1,VK,Facebook,eu_vt_perm_count,91
social_1,social1,VK,Facebook,eu_vt_suspicious,0
social_1,social1,VK,Facebook,ru_exported_comp_total,93
social_1,social1,VK,Facebook,ru_perm_count_local,97
social_1,social1,VK,Facebook,ru_vt_dangerous_perm_count,21
social_1,social1,VK,Facebook,ru_vt_malicious,0
social_1,social1,VK,Facebook,ru_vt_perm_count,97
social_1,social1,VK,Facebook,ru_vt_suspicious,0
social_2,social2,OK,X,delta_exported_total_ru_minus_eu,5
social_2,social2,OK,X,delta_perm_local_ru_minus_eu,23
social_2,social2,OK,X,eu_exported_comp_total,56
social_2,social2,OK,X,eu_perm_count_local,68
social_2,social2,OK,X,eu_vt_dangerous_perm_count,0
social_2,social2,OK,X,eu_vt_malicious,0
social_2,social2,OK,X,eu_vt_perm_count,0
social_2,social2,OK,X,eu_vt_suspicious,0
social_2,social2,OK,X,ru_exported_comp_total,61
social_2,social2,OK,X,ru_perm_count_local,91
social_2,social2,OK,X,ru_vt_dangerous_perm_count,22
social_2,social2,OK,X,ru_vt_malicious,0
social_2,social2,OK,X,ru_vt_perm_count,91
social_2,social2,OK,X,ru_vt_suspicious,0
transport_maps,maps,Yandex Maps,Google Maps,delta_exported_total_ru_minus_eu,-35
transport_maps,maps,Yandex Maps,Google Maps,delta_perm_local_ru_minus_eu,11
transport_maps,maps,Yandex Maps,Google Maps,eu_exported_comp_total,71
transport_maps,maps,Yandex Maps,Google Maps,eu_perm_count_local,49
transport_maps,maps,Yandex Maps,Google Maps,eu_vt_dangerous_perm_count,14
transport_maps,maps,Yandex Maps,Google Maps,eu_vt_malicious,0
transport_maps,maps,Yandex Maps,Google Maps,eu_vt_perm_count,49
transport_maps,maps,Yandex Maps,Google Maps,eu_vt_suspicious,0
